date_dt,city_code,district_code,dwell,flow_in,flow_out
20170523,fc69f34eb64da220cc406f2eff37b7fc,c2c8b18b6a710dd0fb46d56732b8a3e8,0.768,35.236,35.492
20170523,7e4f50b8b3af3ec0c9ad8223d14b9a61,f362eee4ffd563b894684a825de1beb1,1.884,97.528,98.628
20170523,1ac1ad6a1df647efde9facd8fec2b113,6fa3e73c1aa1a7d7a2c4dc1bf467fa92,1.016,42.072,42.196
20170523,0ae011769ad316b0bb0aec3297f89b81,896dcbf8d22deb4f329eb667c56394c6,1.684,67.096,67.068
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,a2efa3422ea6621b3b3340a5fbd86b51,3.184,144.504,145.08
20170523,918ad085e92781fc8a0a626ba0954cf2,282f8c685fd1ceae6a5e71ed502929bb,0.204,7.72,7.743212
20170523,b3c8b069178a302d4c82a2b8a6e933ad,1474a5bb5de6faa1d8d6f7d722060593,19.404,1313.712,1310.304
20170523,8c1aea0122f82f9f2cd312a90e970f67,d5a11638a8f2a007e4bcd0381cc1df91,1.692,73.392,73.616
20170523,8c1aea0122f82f9f2cd312a90e970f67,88f0d06cd5baef85376e0c5aec9e6717,1.608,73.28,73.328
20170523,0ae011769ad316b0bb0aec3297f89b81,9b6da48f7e851a19c1ad923f54abdb8f,1.348,57.464,57.724
20170523,405554280de489942b8381ade6c66383,491c79cf88d527118a7e74f9a868fcce,1.268,56.112,56.516
20170523,1ac1ad6a1df647efde9facd8fec2b113,c0974848d4a012da491ede698aec7f5f,1.06,56.088,56.132
20170523,b3c8b069178a302d4c82a2b8a6e933ad,e37efe83a688ba7c989582f1bdebe286,12.072,552.408,552.176
20170523,7fa83705d62bf66da7fe18cb44257d7f,6b744bc687c1105e3da6f569bdcbb0ad,13.068,661.428,661.848
20170523,1ac1ad6a1df647efde9facd8fec2b113,f708549695399e9d29000ad3f79e0da4,1.284,75.852,76.108
20170523,918ad085e92781fc8a0a626ba0954cf2,20f902ca8c2d2aee96ea9da4a8830463,1.576,64.48,64.568
20170523,95c6f8337845d400bfbfd55744282d36,6d6fc7b791c41c73113f3c3fcabe89a0,1.868,80.608,82.076
20170523,8c1aea0122f82f9f2cd312a90e970f67,a0e92d379e0c50d22928de169825245b,0.688,36.656,36.916
20170523,405554280de489942b8381ade6c66383,c02125039a38500b7d2d23276bdfc623,2.64,170.276,169.584
20170523,88189ecd25139bf39248756732b672c6,18d53f51045010c6500856c6ff6644d6,1.976,84.1,84.932
20170523,8c1aea0122f82f9f2cd312a90e970f67,7f280b39e16f76ff3447e31ac9d957a8,1.452,55.828,55.812
20170523,fc69f34eb64da220cc406f2eff37b7fc,e8401926caf18478cdf360db380fdd7c,1.428,60.164,60.12
20170523,405554280de489942b8381ade6c66383,7fb4bd68d38bf9274d92be052f6ba957,1.308,66.696,67.024
20170523,8bae54c9c7edfa7bb84b21afba062ccc,59aeab817c7bb1f26cf7e31f34b72e2e,1.48,79.432,79.84
20170523,7fa83705d62bf66da7fe18cb44257d7f,323d614118b029e2c9afdc14f1fe36a9,4.464,183.616,185.464
20170523,918ad085e92781fc8a0a626ba0954cf2,e00f729720db83a952b5a55c73a73eaa,1.16,47.996,47.988
20170523,1ac1ad6a1df647efde9facd8fec2b113,cff6c1ae99d6cdbf27bb2a8bb1b276fc,0.948,42.88,43.156
20170523,0ae011769ad316b0bb0aec3297f89b81,d1a1265a24dbe06b8d7e95026a6f684b,1.164,43.284,43.544
20170523,95c6f8337845d400bfbfd55744282d36,c8315bd256bfd81f0d30036ab8e30872,3.296,178.56,177.92
20170523,b3c8b069178a302d4c82a2b8a6e933ad,2fa32df4095ebe25601d0c38714a4c4a,20.696,932.72,932.104
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,78eb8bb5e95c8d2b284c4e372d4b2e21,0.904,47.224,47.228
20170523,0ae011769ad316b0bb0aec3297f89b81,eca573563bea4cdf078344745748ca1f,2.844,125.284,125.424
20170523,7e4f50b8b3af3ec0c9ad8223d14b9a61,4fc1a40878e0b5e3aeef39d635a5f6d8,0.736,38.276,38.54
20170523,0ae011769ad316b0bb0aec3297f89b81,c4cc45fe0913bb5d218f46953479b6ae,2.532,115.648,116.412
20170523,918ad085e92781fc8a0a626ba0954cf2,697c40f0dd99a5772de6d414116fb754,0.892,31.684,31.592
20170523,7fa83705d62bf66da7fe18cb44257d7f,373a92f4c45f48ba0613fc3906939133,6.932,629.564,625.952
20170523,95c6f8337845d400bfbfd55744282d36,81cce7cc849b099f9d2986d0d457f1db,1.232,45.02,45.128
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,4334b6cfaa2eea8e091326d33a64bae6,2.016,103.7,103.536
20170523,b3c8b069178a302d4c82a2b8a6e933ad,b0b15c66bcce23fbec7284377aca8d76,22.276,1439.904,1432.984
20170523,1ac1ad6a1df647efde9facd8fec2b113,8b65817c976cf31fc33bbe34e24bd3da,1.008,36.272,36.464
20170523,0ae011769ad316b0bb0aec3297f89b81,5ad10b226326c35e654619a16ae49a10,2.3,95.348,95.76
20170523,fc69f34eb64da220cc406f2eff37b7fc,98cf13eb09ccb91d6a466cadd23440cd,0.628,25.8,25.944
20170523,0ae011769ad316b0bb0aec3297f89b81,9bbf6b3432e385ca2425750214d90d87,2.976,134.328,135.176
20170523,918ad085e92781fc8a0a626ba0954cf2,36a4c7f5bd890819bd6d2e3bc772ae92,1.516,51.436,51.536
20170523,8bae54c9c7edfa7bb84b21afba062ccc,23eac8fc7d691e99f5afb7e7d24ab4a0,1.276,73.436,73.296
20170523,8c1aea0122f82f9f2cd312a90e970f67,31f243bf541737698943d76e2f046f74,2.672,152.18,152.452
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,b8c2099bc5bb010d5363d1909c46070d,0.78,30.504,30.596
20170523,7e4f50b8b3af3ec0c9ad8223d14b9a61,cc475efb2b1965338158d419c6e5926a,0.824,30.132,30.116
20170523,0ae011769ad316b0bb0aec3297f89b81,4b310c3fe3258155287025223ac00513,1.848,71.432,71.976
20170523,8c1aea0122f82f9f2cd312a90e970f67,4247a6619d25223741baffaecfce78c6,1.06,43.78,43.924
20170523,88189ecd25139bf39248756732b672c6,8000a31727b2d8109b27e55d66d7d01a,1.456,62.52,63.092
20170523,918ad085e92781fc8a0a626ba0954cf2,51b9fd3b45cecc9995762aebe79ad86b,1.216,55.872,56.164
20170523,fc69f34eb64da220cc406f2eff37b7fc,9b5f89ccb79b53f59891157eeff9bd7f,0.24,16.42,16.584
20170523,7fa83705d62bf66da7fe18cb44257d7f,ab0e7e9018474cd1a9839aeaf17e4ded,5.032,244.66,246.92
20170523,7fa83705d62bf66da7fe18cb44257d7f,eb532ce7b7d9578d3b08704d42a2b52e,2.472,105.888,107.164
20170523,8bae54c9c7edfa7bb84b21afba062ccc,b27bbc5718b26ff066190c23f35c9ac1,2.644,146.988,147.088
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,230c4799da99f96569463114b85789d8,1.868,72.84,72.824
20170523,88189ecd25139bf39248756732b672c6,59d21b5ecb7009dbc6e9a582f5d3940d,1.352,58.58,59.408
20170523,8c1aea0122f82f9f2cd312a90e970f67,acd533c1e3f2093816ec6234343f6a1a,0.876,39.267212,39.172
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,8adbdefc98bc742a77b091488f4c226b,4.836,323.76,323.308
20170523,88189ecd25139bf39248756732b672c6,217a1ae51213ead0a105600a6e57f908,5.552,207.228,208.212
20170523,918ad085e92781fc8a0a626ba0954cf2,899dcded1ba2bc55a756b4cf9877be3c,1.652,80.984,80.92
20170523,7fa83705d62bf66da7fe18cb44257d7f,a6b30743d5c0702aedbf02fd71d94b2e,13.568,875.472,876.16
20170523,fc69f34eb64da220cc406f2eff37b7fc,a4bed1a44cb3c7e4cfeaf2ae9270da7a,0.348,17.22,17.132
20170523,95c6f8337845d400bfbfd55744282d36,99c45c93c535f54c9579b597297dabef,2.32,125.656,126.26
20170523,fc69f34eb64da220cc406f2eff37b7fc,0f051b4639ef334ccc4d9de848931be8,0.208,9.028,9.048
20170523,0ae011769ad316b0bb0aec3297f89b81,ee71507b8e2263a33301749a4a8d0a64,3.592,218.396,218.608
20170523,0eaa5d2e2f5b1d9dbc70f5351ac96390,6824292067e7aa9da2afb11f80eded64,2.116,75.744,75.988
20170523,95c6f8337845d400bfbfd55744282d36,a1cf5dc4cb1574d20056df914dc3400b,2.38,94.896,94.944
20170523,8c1aea0122f82f9f2cd312a90e970f67,202831ece0ffdb675138c2e2b4a11b1c,3.356,178.932,178.08
